id,vacancy_id,status,date,total_employee_count,start_time,end_time,luvr,notify_send_time
82,18,6,2025-08-14,1,"09:00:00",,,
138,28,6,2025-08-20,10,"08:00:00",,,
140,28,6,2025-08-20,1,"08:00:00",,,
139,29,6,2025-08-20,7,"08:00:00",,,
65,19,5,2025-08-15,8,"08:00:00",,shift/luvr/z7Sgz6QkYTfJpwkeCpaExvXrFk8lTZ3QpkXoeh8q.jpg,
51,17,5,2025-08-15,1,"08:00:00",,shift/luvr/UEUKurpQgj09CHTyFMfJQl8hNrsY53ZQwlE5Cef8.jpg,
87,22,5,2025-08-15,1,"09:00:00",,shift/luvr/xoHVvRG23HcQ50JPpk4GifNHnfmVKIxE6JUB2FBA.jpg,
37,15,5,2025-08-14,6,"09:00:00",,shift/luvr/1Gb1yF2Fqs9EVWRHlvN8CoUa6shvfgVbZGacjchs.png,
137,27,6,2025-08-21,1,"08:00:00",,,
124,26,5,2025-08-17,1,"09:00:00",,shift/luvr/KuaRxIqnM0lyULZdUHn9QGyxtqNn13ieEY5Mfli5.jpg,
39,15,5,2025-08-18,6,"09:00:00",,shift/luvr/QfLt0oQ97AKOP9wZjO5q8RMbCAZ8iatHNbQusBtW.png,
111,24,6,2025-08-14,1,"09:00:00",,,
67,19,5,2025-08-17,8,"08:00:00",,shift/luvr/oD0f8tPrfiLTHRy9Kul8WUGHDdScrKI8ZkwjwPdk.jpg,
85,21,5,2025-08-15,2,"08:00:00",,shift/luvr/LleHORh9dj72kAHBrWxKvHnS6NjRQYyG8isKnLM3.jpg,
38,15,5,2025-08-15,6,"09:00:00",,shift/luvr/SmcdfMP4vSp1PH08sM4KbbeQAIFdHnb5zxJtNIgR.png,
89,22,5,2025-08-17,1,"09:00:00",,shift/luvr/UM1luE4Fm9LL4qIypretYsh4sul9e2uMXUtTCM9O.jpg,
101,23,6,2025-08-14,1,"08:00:00",,,
121,25,6,2025-08-14,3,"09:00:00",,,
50,17,5,2025-08-14,1,"08:00:00",,shift/luvr/o29mNvRWevKkgDNDe9ds1BMxcuirymw42un55mGs.jpg,
41,15,5,2025-08-20,6,"09:00:00",,shift/luvr/BgeFiohkemTMaiVakKqU1A6I86NOOENcppt80t4v.png,
69,19,5,2025-08-19,8,"08:00:00",,shift/luvr/ktycP3fArUXlAVGTbgZlfjKww53anbuQ6DOW5mPx.jpg,
104,23,5,2025-08-19,1,"08:00:00",,shift/luvr/qJkW3uXlLLfhF7i7kUQzz10epk0ZUy3e06RduD1o.jpg,
135,26,5,2025-08-22,1,"09:00:00",,shift/luvr/zBKcPvGp1AenEBVPgyvDDA765W3QHNaIorDCuto5.png,
114,24,5,2025-08-19,1,"09:00:00",,shift/luvr/sTVKS22aMcrk18RIL3S2M9RaN0jSzdmIFSwnvV6b.jpg,
125,26,5,2025-08-18,1,"09:00:00",,shift/luvr/MfYZ4JqGSxV1zysLFZilrShGEZ1U5xtEwMwoxpdJ.png,
91,22,5,2025-08-20,1,"09:00:00",,shift/luvr/TAvcJzJlPePwy8mkddCzjNuLw7Qw73FNBth2ULNe.jpg,
54,17,5,2025-08-20,1,"08:00:00",,shift/luvr/291EhogtDPZgxqRWx9Kt3j0NUCut21XBJXC8mBq9.jpg,
126,26,5,2025-08-19,1,"09:00:00",,shift/luvr/FQTf11CBpkIOJNpYHUYl6uCHxjPAQlJ9kb21Bo8S.png,
129,26,5,2025-08-23,1,"09:00:00",,shift/luvr/QyGIWb4csXw99oHYOSC6QEZw42tFXZSbP3ViIARX.png,
70,19,5,2025-08-20,8,"08:00:00",,shift/luvr/egEyTo5ObXANEf2HWqRubnDURfJIJnmUSPUYxvON.jpg,
73,19,5,2025-08-23,8,"08:00:00",,shift/luvr/8hp47fWvU5Ebbv54mjde6ASZT4i3R2leRjIO6M2l.jpg,
92,22,5,2025-08-21,1,"09:00:00",,shift/luvr/vXN4yblIyW2qP3IYjYmv5ZwpcS3p0wHNCAFwCQCx.jpg,
117,24,5,2025-08-24,1,"09:00:00",,shift/luvr/Hk4nAMC1TcimMLKtC2A4ObQZOjXdpTGxUrCG3k3Z.jpg,
55,17,5,2025-08-21,1,"08:00:00",,shift/luvr/tTnnEmDyyRhxlP0MRSRPprDL8GzRN3pGIgGEbrCG.jpg,
42,15,5,2025-08-21,6,"09:00:00",,shift/luvr/VwCMovLLhk9pBcGxpulyeVhTPMydNB1H32vRG915.png,
95,22,5,2025-08-24,1,"09:00:00",,shift/luvr/UcML2HA230C1omosyEd5PTJvZihVeL5gjp0vyKIz.jpg,
94,22,5,2025-08-23,1,"09:00:00",,shift/luvr/zKtzSbIXMfVUC7oKFdD6TFPysOKpFBtAaqsjdsBu.jpg,
71,19,5,2025-08-21,8,"08:00:00",,shift/luvr/qWUnQWNSESmtZ2ah5fXFQ1WidxXWvw6vEpd4xLo2.jpg,
58,17,5,2025-08-26,1,"08:00:00",,shift/luvr/nhXy5nBhv84L1b1f6cSQnlRWq7lrSDGkPOjCd25t.jpg,
45,15,5,2025-08-26,6,"09:00:00",,shift/luvr/Q8FxcSwmxB3zyYe4bDopwrwAaYdel0zW4y4qIpTL.png,
132,26,5,2025-08-26,1,"09:00:00",,shift/luvr/joMvYCMf5F7JXjwZwydUM1e3DsortuQlvY7GPtQ5.png,
75,19,5,2025-08-25,8,"08:00:00",,shift/luvr/EdbpUlXlX1JKZ8XhzmoZOls3yCprkakngTbk7Bs9.jpg,
107,23,5,2025-08-26,1,"08:00:00",,shift/luvr/XFVa66NP5hJ6jlzy0iFjDpw3nkOnpyVKhXgDPn6X.jpg,
57,17,5,2025-08-25,1,"08:00:00",,shift/luvr/ny3nti4pe30bRNqoevQqfYBCkOgQtYxB0XJ6ha7Q.jpg,
77,19,5,2025-08-27,8,"08:00:00",,shift/luvr/Z77ixfcFGEkyO3bemsydDmLxkrw10qxHuTIusvlX.jpg,
118,24,5,2025-08-27,1,"09:00:00",,shift/luvr/vHQOKkbbQNCiKrplj6ZsFZCtTU0EK6F4R9IaNaJK.jpg,
96,22,5,2025-08-26,1,"09:00:00",,shift/luvr/sSSIFL7CkQf9DnKiQkkBZstCTGLttArlMPe1abhg.jpg,
106,23,6,2025-08-23,1,"08:00:00",,,
136,26,5,2025-08-31,1,"09:00:00",,shift/luvr/zjP79nk8darmMXew8hOvPwtw7qLjevOk4vzvxWn0.png,
141,29,6,2025-08-20,70000000,"08:00:00",,,
172,34,5,2025-08-31,6,"08:00:00",,shift/luvr/U88rS9thKO9hxfB4SkI7CfrxbERFGacy10VDXCxR.jpg,
222,37,5,2025-08-30,9,"08:00:00",,shift/luvr/UwBATRivXEvm3itiYxT8ICDFP5pdyST6pUViWLkl.jpg,
188,35,5,2025-08-30,2,"08:00:00",,shift/luvr/9I2tIl5c4JJjhFAvCo828lCuT8EF8wd2srssMMt0.jpg,
170,34,5,2025-08-29,6,"08:00:00",,shift/luvr/P6unOnRj54b9JK2v2rHSPNQgpE2DOxkMZXSChF5Y.jpg,
204,36,5,2025-08-29,3,"08:00:00",,shift/luvr/lPg9Mvh9Z3T0PuDQBfMsqmjyO9ngUFIM0cM2BEkJ.jpg,
220,37,5,2025-08-28,9,"08:00:00",,shift/luvr/pEsybzOjPKq7dSEFmGvGe0X9QJGDYdjywqhvVhpV.jpg,
169,34,5,2025-08-28,6,"08:00:00",,shift/luvr/ye9WEoCzhhwjgGnMw4Fr2FP4OBh7NFljW3BtIAvE.jpg,
203,36,5,2025-08-28,3,"08:00:00",,shift/luvr/j8gRmV3BMXjsnqZLUerE8JuFZ3xlSNv9k6PPVzbm.jpg,
18415,2340,6,2026-01-04,3,"08:00:00",,,
246,56,5,2025-10-01,5,"08:00:00",,shift/luvr/mNLzjUD11eevpFC0lTzcIRKtJlb7OQsk1lARflQC.jpg,
200,36,6,2025-08-25,3,"08:00:00",,,
173,35,5,2025-08-15,2,"08:00:00",,shift/luvr/L0iwBU6HfH7vhhqLqfwd4VTVDHEFFdpXIn7sOvUP.jpg,
156,34,5,2025-08-15,6,"08:00:00",,shift/luvr/UtYXs0ySflg18iMdxPaMAqPFErTe0UH0DPFoRWzm.jpg,
226,38,6,2025-08-17,1,"08:00:00",,,
145,33,5,2025-08-15,2,"08:00:00",,shift/luvr/WW9IPV4WBRiDFkv9Pf6lp1Z2p73u0AGso5X7oSkC.jpg,
227,40,6,2025-08-15,3,"08:00:00",,,
123,26,5,2025-08-16,1,"09:00:00",,shift/luvr/GMK8TR8SxYPf2fFAccSYU0LG3vk9coQ2E0V2EqvG.jpg,
228,41,5,2025-08-15,9,"08:00:00",,shift/luvr/DuPTsN6C3xfKMeqQhtfhWMJ74CHROUfrt5SDCH1x.jpg,
148,33,5,2025-08-20,2,"08:00:00",,shift/luvr/kb3WtDVnbr9HaO2x1rJwbT9EBIIVHPT68U2VCemS.jpg,
112,24,5,2025-08-15,1,"09:00:00",,shift/luvr/2kGOYYWBErPude9pmaBGjLTv0L2WeO412MGDhk1o.jpg,
229,43,6,2025-08-18,8,"08:00:00",,shift/luvr/a1hTyO1aH1zbouS6DQucjPTt0vzcCcSNiNIqZ2HL.png,
207,37,5,2025-08-15,9,"08:00:00",,shift/luvr/galGNOwp8Im258yFMq0XmkRl9syGVHzXl6Hu4OCD.jpg,
190,36,5,2025-08-15,3,"08:00:00",,shift/luvr/y2jrlFIs7ixZF8coxQeF0OglafToWlkv3psvHw85.jpg,
84,21,5,2025-08-14,2,"08:00:00",,shift/luvr/INyr5c5Om9PeeotX7ky8EjpGh8FKCa3WvhOdAuUo.jpg,
86,22,5,2025-08-14,1,"09:00:00",,shift/luvr/U70Hdhx5MPLmsmh9IIsqSHiWGVcjsmoeneI5Zcex.jpg,
143,31,5,2025-08-15,6,"08:00:00",,shift/luvr/WepQsITdpq7ahoDIuEPvJ6p8avoD54CVz2oMHonH.jpg,
102,23,5,2025-08-15,1,"08:00:00",,shift/luvr/CFNQnenDWAunYzSQtyFbj5Q3YpPmuvKV6oJLkNhT.jpg,
157,34,5,2025-08-16,6,"08:00:00",,shift/luvr/K7hlqZLwcQRvLsORMDnAMHnRGRuL05Tn61RR6tQ8.jpg,
191,36,5,2025-08-16,3,"08:00:00",,shift/luvr/vPf0qd69tdUNSy5dDWeKE9lU0e5EAxpzCROWg0zr.jpg,
192,36,5,2025-08-17,3,"08:00:00",,shift/luvr/NgUgbiHcngb5D223WnOWSWXEvPeSuocvfnobka54.jpg,
88,22,5,2025-08-16,1,"09:00:00",,shift/luvr/8YAYraMitMTZsGd8Zro08q3kdXJUnxp6ujAj7e5N.jpg,
224,38,5,2025-08-15,1,"08:00:00",,shift/luvr/Llw6zHjiBENJt2B3pJmYZevsoAlTvdvQTWx3XTUR.jpg,
209,37,5,2025-08-17,9,"08:00:00",,shift/luvr/sRnBwwUzVHXiQJSiFhJ6v2CeVyilbCAwjoKeweql.jpg,
83,20,6,2025-08-14,1,"09:00:00",,shift/luvr/szTFlYYoQRhfAiJSoOtOoLvsCTC1iWsQICMZ8BOk.jpg,
174,35,5,2025-08-16,2,"08:00:00",,shift/luvr/L3CiZhqpY6gb3M8VM1JpIxIYlEgRwEIBqSkx530d.jpg,
122,26,5,2025-08-14,1,"09:00:00",,shift/luvr/lQW0BVqtrL0hlP9TZRRuZsJuAcSqz8ldun3lSqll.jpg,
225,38,6,2025-08-16,1,"08:00:00",,,
208,37,5,2025-08-16,9,"08:00:00",,shift/luvr/9WcrTZCCSJQePpzcfmd8iO58mMRf4bSn0e8D9xYb.jpg,
144,32,5,2025-08-15,2,"08:00:00",,shift/luvr/UR1Nt1QVHC6HSjNmtGN7HlBqbhVMZW4pK8M9SvRh.jpg,
142,30,5,2025-08-15,2,"08:00:00",,shift/luvr/Wfwl0rF0ILSicQoREanX6qNLYh3EqqW2iCddtJeW.jpg,
210,37,5,2025-08-18,9,"08:00:00",,shift/luvr/P7dfwyL2tbbfBCfEvSzQzDq9xIRkDjqsoanxYQo4.jpg,
146,33,5,2025-08-18,2,"08:00:00",,shift/luvr/xZlPzRaDgp0py2f49nEqqpuRp6z3SOwVQpX230PZ.jpg,
212,37,5,2025-08-20,9,"08:00:00",,shift/luvr/UqmEEmo6pTWyafiEtk56ZYjAvL9mYYL0YThhvhoZ.jpg,
176,35,5,2025-08-18,2,"08:00:00",,shift/luvr/WZ3X60zKbWVvoh2AIkylTSp64nrayVkUecFSHg4D.jpg,
160,34,5,2025-08-19,6,"08:00:00",,shift/luvr/Uxy3eLqaCwQqlVs2gLmgxbFiTwawkrDzg7dMnuuP.jpg,
167,34,5,2025-08-26,6,"08:00:00",,shift/luvr/pddnbZj11KBCExms23Ncwf8punB0ujtfRTp2DpPd.jpg,
178,35,5,2025-08-20,2,"08:00:00",,shift/luvr/0eTwuuJwefWFciyOBMUMq023hnYbYSRjpMl8vq8L.jpg,
194,36,5,2025-08-19,3,"08:00:00",,shift/luvr/ZWw9sTWNIFWJwSGJF6bCLLZZ0iwyCtq7gK822VId.jpg,
150,33,5,2025-08-22,2,"08:00:00",,shift/luvr/5jsnfLGLdyomPqWxuTW4EN65f390mrVvSLoVO4Dk.jpg,
163,34,5,2025-08-22,6,"08:00:00",,shift/luvr/TPjFAtQfH6OMPvf69F6V9gQVKLNwkzvzyAntrTbN.jpg,
181,35,5,2025-08-23,2,"08:00:00",,shift/luvr/FRlchNZOB1kcL9AZNTJusOzGuoUtULf6i0omAsC9.jpg,
214,37,5,2025-08-22,9,"08:00:00",,shift/luvr/GX15DVQhxzZNcROWZWvDbUgD4DtesQ3dhzpVjZKy.jpg,
182,35,5,2025-08-24,2,"08:00:00",,shift/luvr/JO2vETYMTaD1pEUqj623uix0iEuqwRv6OWcThrjR.jpg,
197,36,5,2025-08-22,3,"08:00:00",,shift/luvr/gJFlCOLcm5lDyF4zFL7lwRiuLTyPA6LpgEx4ERF7.jpg,
216,37,5,2025-08-24,9,"08:00:00",,shift/luvr/VvB3aSuJBBZpGYSsPVUq5Engop0obWASwg2S2fpB.jpg,
219,37,5,2025-08-27,9,"08:00:00",,shift/luvr/x0Fehk0xRuu3kz0ysVg6g2Zi0mNnTuhRSbRFxpLq.jpg,
179,35,6,2025-08-21,2,"08:00:00",,,
199,36,5,2025-08-24,3,"08:00:00",,shift/luvr/DVgpUkcm8cGyzg2oOqM1AuKXhdjjAgDqBJoN7oLb.jpg,
201,36,5,2025-08-26,3,"08:00:00",,shift/luvr/NypMPo5EskikwxmAaKA8MSnePxKtOdxPdKA1FZX1.jpg,
183,35,5,2025-08-25,2,"08:00:00",,shift/luvr/PEhQ9dWBb49WbxGAsEyXJgMNARmT3NQ2EkvxXX9m.jpg,
153,33,5,2025-08-27,2,"08:00:00",,shift/luvr/4Rn0H4xsZ79WQqy5MNTi7t1katoggvQtQRMBgSjg.jpg,
217,37,5,2025-08-25,9,"08:00:00",,shift/luvr/9RBwxprc0sVMrBLI7xRCczU57XxkL9Xin3fuWxgx.jpg,
185,35,5,2025-08-27,2,"08:00:00",,shift/luvr/nXHrnL2EYooSo95z7FgkVQpvSCodVVNbZxrW1sKm.jpg,
151,33,5,2025-08-25,2,"08:00:00",,shift/luvr/3p3NA7bHXSw7ezJYhEoyA2RNq9pGeDIWFpCtTRM2.jpg,
155,33,6,2025-08-29,2,"08:00:00",,,
158,34,5,2025-08-17,6,"08:00:00",,shift/luvr/UItWLXhA5osALjqyUf04Q8p6cci8ZK2uVNPYveZN.jpg,
161,34,5,2025-08-20,6,"08:00:00",,shift/luvr/Rb7J79OXgE6nzI95TAp8YIc8RP2xsQQN0xEqvTix.jpg,
115,24,5,2025-08-20,1,"09:00:00",,shift/luvr/KcbDx0LOd9pHb1h1jbNJxLDmtqjJiIK522jyTvYc.jpg,
175,35,5,2025-08-17,2,"08:00:00",,shift/luvr/lopMKSQGwCx6he0GgAWNKiXtcxkyTnzi39niU6Em.jpg,
66,19,5,2025-08-16,8,"08:00:00",,shift/luvr/5FYHl83frZXXB9QTctz5b7rPs0VVMnLOX45XK8Fg.jpg,
64,19,5,2025-08-14,8,"08:00:00",,shift/luvr/zA0tLnIv8vBiKNbwv6WBJsFBsppNTswlNDMpru9G.jpg,
211,37,5,2025-08-19,9,"08:00:00",,shift/luvr/xp7A5Bv6OPKT040C30TXToiDUoR9tlcVVlQqDXqJ.jpg,
177,35,5,2025-08-19,2,"08:00:00",,shift/luvr/4fWz3EZ7mgW2Nn9qjPVMlFwBzP5OMEfmYJRSlO2r.jpg,
90,22,5,2025-08-19,1,"09:00:00",,shift/luvr/4g2vbFBDC1CTW6zUwE0MfTVo6AUzduPpzAqxjnlX.jpg,
147,33,5,2025-08-19,2,"08:00:00",,shift/luvr/qfgDfRKNaKGzbQ6eF3ZyFhU6lPPajS43UQKw7Mci.jpg,
113,24,5,2025-08-16,1,"09:00:00",,shift/luvr/xX6VElK0kapo5hegTC4NzHhPgukfLXPLMHvrS5J2.jpg,
230,44,5,2025-08-20,2,"08:00:00",,shift/luvr/uiXIy75xhf6QtnNiwBZhcjQHbAI2UmFVT5ZLEwnY.jpg,
53,17,5,2025-08-19,1,"08:00:00",,shift/luvr/FFoBfZ8TCXUQzG5qSDOgNZZx03MkqAnBzqdCV5IZ.jpg,
100,22,5,2025-08-18,1,"09:00:00",,shift/luvr/n9MJhkp5sAa6PrM2HOJlHT9bD6vyFsobNHsp3oSr.jpg,
40,15,5,2025-08-19,6,"09:00:00",,shift/luvr/lg6jcnlzR0voYWH4vFXa5fX7mNdvQD5QVYglL822.png,
159,34,5,2025-08-18,6,"08:00:00",,shift/luvr/qsOdskzTFZ5z5NuU3ikeNiy5lQui7GM3Y0D3rPHv.jpg,
193,36,5,2025-08-18,3,"08:00:00",,shift/luvr/79b4pzvyJT1aDLi8sY2v9wbTVRMAu6cHV9lmMbRB.jpg,
103,23,5,2025-08-18,1,"08:00:00",,shift/luvr/74z1DQesyqgtExZBUQWGOTfFBevrKAIqRxO165Jy.jpg,
68,19,5,2025-08-18,8,"08:00:00",,shift/luvr/fCHRiE1ReOts2nBxVweRGucBszlOPhHBTxnqrCWY.jpg,
52,17,5,2025-08-18,1,"08:00:00",,shift/luvr/esEmpeikiXG38r8ATjJnD8VRFi2Fqppn2Dw4yq0J.jpg,
213,37,5,2025-08-21,9,"08:00:00",,shift/luvr/iiNjUx8wBb3HuJofwSbRmsgk6HV6zOk9N92Sucvj.jpg,
165,34,5,2025-08-24,6,"08:00:00",,shift/luvr/f8p2PB3pvfYxmw4tHGJda8nKsErKJPRXMLOZEzfA.jpg,
130,26,5,2025-08-24,1,"09:00:00",,shift/luvr/KcTCvDrXM8J5i1JkscMcLshOPMjRhapDKyczApkI.png,
74,19,5,2025-08-24,8,"08:00:00",,shift/luvr/RfxwjAanPVZwz9fxzhjFwvfm50fZyyKjFFHjwqXO.jpg,
164,34,5,2025-08-23,6,"08:00:00",,shift/luvr/g4WQ9jmbybZ75FWAAt4TDBnBao4qXJ6aMNwR4nwB.jpg,
116,24,5,2025-08-23,1,"09:00:00",,shift/luvr/nrAzW447TVPJ6gTM60sXr5xCI5SoJPXBKYnA8rqt.jpg,
215,37,5,2025-08-23,9,"08:00:00",,shift/luvr/Fnz1YHxmZKlsQ9APxJxhuyaHOzQiCdPeBSSnZBDT.jpg,
231,45,5,2025-08-22,1,"08:00:00",,shift/luvr/Eqa6g1zqQZ6uqt2207ak0OSoD3iVaoDHlc0hoEMM.jpg,
198,36,5,2025-08-23,3,"08:00:00",,shift/luvr/FEW29cAQ9xrWFWhbY70J91mlUFtwRSQNZgzovauI.jpg,
127,26,5,2025-08-20,1,"09:00:00",,shift/luvr/QMMe5F71GgN5aMjuVIb2V2cTB4xyy9ZVruzvNtRh.png,
195,36,5,2025-08-20,3,"08:00:00",,shift/luvr/S30W40ylJV9uMRzet15mibtuzGLWW4wtJM2eUtTz.jpg,
232,46,6,2025-08-25,4,"09:00:00",,,
180,35,5,2025-08-22,2,"08:00:00",,shift/luvr/1BFR5XrROU2OJbWH2LHL0hH2V0WspRbhd1Y0hYFD.jpg,
56,17,5,2025-08-22,1,"08:00:00",,shift/luvr/PFxlUzs2vWzktjHGuds2jTXJVL5u5y4mXLqzYok4.jpg,
72,19,5,2025-08-22,8,"08:00:00",,shift/luvr/NXe9MclBr1HkT4gz3TkLB3WC3Z1sZhS2JjQJysey.jpg,
43,15,5,2025-08-22,6,"09:00:00",,shift/luvr/Qt96JR4E1UyEqqZMLnOzs9kG9znJcVvt6IXl9G3P.png,
93,22,5,2025-08-22,1,"09:00:00",,shift/luvr/Zs8PYVr7UIIupeQT1igr2nt0xH5v0Hlp4F6eVEwl.jpg,
105,23,5,2025-08-22,1,"08:00:00",,shift/luvr/q49PVozro8jDfh1M2xLaViqNUShBk2EaAYHkVGi4.jpg,
234,48,5,2025-08-25,3,"09:00:00",,shift/luvr/L7Fzjd47ncacoimUoYdX3dByc2dzBOtd2ENmxTd1.jpg,
128,26,5,2025-08-21,1,"09:00:00",,shift/luvr/HdurZLN4mA6VqJCetr8L67C8a6ZUiRmm574hhnRJ.png,
149,33,5,2025-08-21,2,"08:00:00",,shift/luvr/yjyQGZAo6nLylzg2JqV8jOShBbYR8YOoeKe38jQH.jpg,
233,47,5,2025-08-25,4,"09:00:00",,shift/luvr/I7DaKRjmxE5vMvPJU7Gq3HltiNZCRA38giUPNrVO.jpg,
196,36,5,2025-08-21,3,"08:00:00",,shift/luvr/QuwSX7LaBUoeC9VG2wZ1slVnfjoU3XJ16KZOTMdb.jpg,
162,34,5,2025-08-21,6,"08:00:00",,shift/luvr/yadwljW8GIa8jJMM5e6Vfql5TE1US61ETKkDvSy4.jpg,
97,22,5,2025-08-27,1,"09:00:00",,shift/luvr/s4tuixBe3O289orgM65mLQPqz5FQ5SpHdar8i6SY.jpg,
166,34,5,2025-08-25,6,"08:00:00",,shift/luvr/lD3OKGkQzO6GwH2s7jhkegbPFFXIPAPJ16YMCwib.jpg,
108,23,5,2025-08-27,1,"08:00:00",,shift/luvr/ej5xWJfUNqKp3cJsVPBCJJ4ssE7gD7F2D1qgLXMH.jpg,
168,34,5,2025-08-27,6,"08:00:00",,shift/luvr/Wp3pwpm230aPBr6rQXrtkk8Aqo7XFeBIFhNvuabq.jpg,
218,37,5,2025-08-26,9,"08:00:00",,shift/luvr/XAGgqPazlUJ6rPvZPkSWhrOh28QT91OfuvN085bA.jpg,
235,49,5,2025-08-28,2,"08:00:00",,shift/luvr/59pBiYQY7QCF8E8UedjAvBJcM80jnEkaBA4sC3BG.png,
46,15,5,2025-08-27,6,"09:00:00",,shift/luvr/mKnJEkOkBcVbzUhWg32WpIX1O2siBBIzs3IK7P43.png,
59,17,5,2025-08-27,1,"08:00:00",,shift/luvr/ij9hHVBK3Wx8KU2fXeSNnXUwQgEwGKD7Qz91JrD7.jpg,
133,26,5,2025-08-27,1,"09:00:00",,shift/luvr/fVBRMyaWReEBVgk11cMJRM4HVZACAl3ii7qWak0t.png,
202,36,5,2025-08-27,3,"08:00:00",,shift/luvr/RCRSQun94ezkJDmD7e9dsaXEsWa0A7rb5xC5aDrm.jpg,
152,33,5,2025-08-26,2,"08:00:00",,shift/luvr/yg3FUZLgCsB8cfbdyc0bEbM39DJYfjEVU60wp9I3.jpg,
184,35,5,2025-08-26,2,"08:00:00",,shift/luvr/U2kJ20WYE5VKuYaICIUIxcoRaCO5D21f2UlBdCGY.jpg,
76,19,5,2025-08-26,8,"08:00:00",,shift/luvr/NhzrFwZtPqQBJFAc2oRWDzvLA0ZG8vpc6Iy1yV6v.jpg,
44,15,5,2025-08-25,6,"09:00:00",,shift/luvr/qKucoKNOOxYSUpFnPwK4zqOEWp0Gn6dMEFrRUwin.png,
131,26,5,2025-08-25,1,"09:00:00",,shift/luvr/x6FeaLCYc2rUgQJPbDpyQ9ClK3I6tu7oSViT4873.png,
236,50,5,2025-08-29,3,"08:00:00",,shift/luvr/9Ts9fwZMScUTXFK5OuhzuIQJMuFeOjhJ1ihtg5Mp.jpg,
109,23,5,2025-08-29,1,"08:00:00",,shift/luvr/MnYOtNqOe9YZN80HWXGR1PLZ516bF5wg8g2q2nDh.jpg,
47,15,5,2025-08-28,6,"09:00:00",,shift/luvr/7iEUL9WvMGirCIABAWAAgWggcZtuoXEbE5TYfcuU.png,
98,22,5,2025-08-28,1,"09:00:00",,shift/luvr/S93NNH5bvICNmb3gyu7UjX1dWTWvov78QWtJV7Vq.jpg,
1512,132,6,2025-10-19,1,"08:00:00",,,
189,35,5,2025-08-31,2,"08:00:00",,shift/luvr/1Inf2FgHKYmDYPtEw2fXHS7vTue65vRbr4p75y8e.jpg,
81,19,5,2025-08-31,8,"08:00:00",,shift/luvr/fgmjpJopjhXo9eZxzMQTzT2uyvAOcsU0czl3x9Ag.jpg,
171,34,5,2025-08-30,6,"08:00:00",,shift/luvr/AqVz9MI0XFVwTMAVMWzchkHdT7nvwbk7tpMTIP9F.jpg,
238,52,5,2025-08-30,1,"08:00:00",,shift/luvr/YYD4YdaQ66z0bfI4yLiZZDSoVZleWNXNc4Kw5L4q.jpg,
221,37,5,2025-08-29,9,"08:00:00",,shift/luvr/nbu7skDY3JhSzyfU3znMbrevK4mLl3s74DmNLVtI.jpg,
187,35,5,2025-08-29,2,"08:00:00",,shift/luvr/dFu7D6UQWioG5sqdRBdwEzotVUEYjUX1HUpQQ7hD.jpg,
79,19,5,2025-08-29,8,"08:00:00",,shift/luvr/o9cHAwCn1sh1atkRR7BeKYmLjAHuOftM4QucP92H.jpg,
119,24,5,2025-08-28,1,"09:00:00",,shift/luvr/2f1Ozmk3aCNTe50KYFeoOvlGzotZseC4GZNcuaHM.jpg,
154,33,5,2025-08-28,2,"08:00:00",,shift/luvr/JkXdTLWO916oHrHotqre3TGYDvEsMBKE0aediNLB.jpg,
255,61,6,2025-10-01,6,"09:00:00",,,
